Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,61,0,1300.0,1479.8155411147598,595.5658849998144,3655.587218999244,375299.0,0.41152304407535095,0.0,1300,1600,1800,2000,2400,2800,3600,3700,3700,3700,3700
GET,Extrair: /wiki/Docker_(software),57,0,310.0,393.7563478772031,225.9161009997115,1435.683639000672,27583.263157894737,0.38453792643106566,0.0,310,360,420,510,700,870,1100,1400,1400,1400,1400
GET,Extrair: /wiki/Fortaleza,52,0,990.0,1381.178626634612,479.3565429999944,3393.0463530005,276981.21153846156,0.350806529375709,0.0,1200,1500,1900,1900,2900,3000,3100,3400,3400,3400,3400
GET,Extrair: /wiki/Inteligência_artificial,58,0,8,45.582969051730316,2.9413570000542677,247.77819399969303,2893.0,0.39128420584213697,0.0,8,35,53,92,170,200,240,250,250,250,250
GET,Extrair: /wiki/Locust_(software),52,0,400.0,636.6394231923166,194.24122600048577,2477.9950279998957,2879.0,0.350806529375709,0.0,400,640,750,1100,1400,1800,2500,2500,2500,2500,2500
GET,Extrair: /wiki/PHP,55,0,430.0,524.5328335272544,289.45122999994055,1311.7086610000115,69960.81818181818,0.371045367608923,0.0,430,530,640,750,900,1000,1100,1300,1300,1300,1300
GET,Extrair: /wiki/Portugal,59,0,980.0,1363.785492915251,485.94017300001724,3431.2593880003988,295395.8813559322,0.3980304852532083,0.0,980,1500,1700,2100,2800,3100,3300,3400,3400,3400,3400
GET,Extrair: /wiki/Python_(linguagem_de_programação),57,0,8,28.236746333389245,3.010446000189404,311.990264999622,2915.0,0.38453792643106566,0.0,8,12,18,23,47,200,220,310,310,310,310
GET,Extrair: /wiki/Redis,52,0,320.0,385.0236036345835,221.04029700039973,773.0909499996415,21122.94230769231,0.350806529375709,0.0,340,410,490,560,630,700,740,770,770,770,770
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),55,0,8,28.510810872698627,2.9907770003774203,177.7930890002608,2911.0,0.371045367608923,0.0,8,23,44,58,87,130,150,180,180,180,180
,Aggregated,558,0,370.0,632.2485252455203,2.9413570000542677,3655.587218999244,110908.36021505376,3.7644239113778006,0.0,370,640,850,1000,1700,2400,3000,3100,3700,3700,3700
