Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,100,0,12000.0,12585.920666829981,706.7819849999069,32318.409832999805,2857.0,1.377637474625504,0.0,12000,15000,16000,18000,21000,28000,32000,32000,32000,32000,32000
GET,Extrair: /wiki/Docker_(software),91,0,15000.0,14648.468733252725,1513.9138269996693,40286.2462600001,2879.0,1.2536501019092088,0.0,15000,16000,17000,18000,26000,28000,40000,40000,40000,40000,40000
GET,Extrair: /wiki/Inteligência_artificial,100,0,140.0,194.43757938000545,43.06726599998001,795.577805999983,2893.0,1.377637474625504,0.0,140,180,260,320,410,520,700,800,800,800,800
GET,Extrair: /wiki/Locust_(software),4,0,2400.0,7194.869859500045,2175.7239799999297,13267.070399000204,2879.0,0.05510549898502016,0.0,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,Extrair: /wiki/PHP,40,0,11000.0,9781.466099774992,1483.5245530002794,24010.59418800014,2851.0,0.5510549898502016,0.0,12000,13000,14000,16000,16000,22000,24000,24000,24000,24000,24000
GET,Extrair: /wiki/Portugal,100,0,18000.0,17969.755234179967,2535.7214160003423,42693.90560500005,2861.0,1.377637474625504,0.0,18000,19000,19000,20000,32000,33000,40000,43000,43000,43000,43000
GET,Extrair: /wiki/Python_(linguagem_de_programação),90,0,130.0,182.89097079998808,36.86918700032038,685.2930549998746,2915.0,1.2398737271629536,0.0,140,190,230,280,360,500,670,690,690,690,690
GET,Extrair: /wiki/Redis,15,0,13000.0,11199.998489333298,2192.154635999941,17361.074539999663,2855.0,0.2066456211938256,0.0,13000,13000,14000,16000,16000,17000,17000,17000,17000,17000,17000
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),83,0,110.0,153.37077837352535,31.782122000095114,526.8486680001843,2911.0,1.1434391039391683,0.0,110,140,180,210,370,430,470,530,530,530,530
,Aggregated,623,0,3300.0,8066.211983163722,31.782122000095114,42693.90560500005,2881.9149277688603,8.58268146691689,0.0,3300,13000,16000,17000,19000,26000,32000,33000,43000,43000,43000
