Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,100,0,20,94.06921158999921,15.197948000150063,844.2114910003511,3243.0,2.9278073943362033,0.0,20,24,27,52,400,590,780,840,840,840,840
GET,Extrair: /wiki/Docker_(software),89,0,19,24.58041341569799,14.333197999803815,190.43852499999048,3276.0,2.605748580959221,0.0,19,24,28,29,39,42,68,190,190,190,190
GET,Extrair: /wiki/Fortaleza,50,0,20,28.61105786006192,16.042959000060364,185.13011999993978,3252.0,1.4639036971681016,0.0,21,24,27,29,35,38,190,190,190,190,190
GET,Extrair: /wiki/Inteligência_artificial,96,0,19,23.103651666644964,14.128859999800625,186.02384200039523,3297.0,2.8106950985627552,0.0,19,21,24,26,33,43,49,190,190,190,190
GET,Extrair: /wiki/Locust_(software),50,0,20,24.285477800012814,14.454711999860592,179.41956899994693,3276.0,1.4639036971681016,0.0,20,21,23,25,29,34,180,180,180,180,180
GET,Extrair: /wiki/PHP,56,0,20,28.215345267848793,15.171366000231501,188.33525499985626,3234.0,1.639572140828274,0.0,20,23,25,28,33,74,180,190,190,190,190
GET,Extrair: /wiki/Portugal,99,0,18,21.78370041416532,14.329774000088946,184.83111600016855,3249.0,2.8985293203928415,0.0,18,20,22,23,27,34,58,180,180,180,180
GET,Extrair: /wiki/Python_(linguagem_de_programação),79,0,20,25.620650797492676,14.379815000211238,179.16762000004383,3330.0,2.3129678415256008,0.0,20,24,28,30,41,52,56,180,180,180,180
GET,Extrair: /wiki/Redis,52,0,20,27.84659701925508,15.235122999911255,207.79350400016483,3240.0,1.5224598450548257,0.0,20,23,25,26,28,33,190,210,210,210,210
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),68,0,22,26.076187323490238,15.014010000413691,173.5632700001588,3324.0,1.9909090281486184,0.0,22,24,26,29,39,49,58,170,170,170,170
,Aggregated,739,0,19,34.423864909338455,14.128859999800625,844.2114910003511,3273.4952638700947,21.636496644144543,0.0,19,23,25,27,35,56,230,440,840,840,840
